word,pct,pct_per_decade,decades,decade_specificity,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
movies,0.030464438992403312,0.0027694944538548464,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3218736331420157e-05,0.0002896315131395635,0.0013388868052825959,0.0015335410854353385,0.002091237067681806,0.0030062967370043125,0.0029947937624918825,0.003938086328242191,0.004412236080536262,0.005213081651440449,0.005623429224817491
baseball,0.037568033498045265,0.002504535566536351,15,5.0,0.0,0.0,0.0,0.0,0.0,2.9936253143830465e-05,7.150710744894489e-05,0.00018631350086542622,0.00015896663737375194,0.0006222621336820602,0.0013938516569841494,0.0016042517576809483,0.002407449430012189,0.0024263440217322375,0.004060397977188153,0.0026064199316211773,0.0033643254062466392,0.004663071496111948,0.006415244252911414,0.007557691935042393
shit,0.027538432542755422,0.002294869378562952,12,8.0,0.0,0.0,0.0,0.0,0.0,5.987250628766093e-06,0.0,0.0,0.0,9.287494532568061e-06,4.52549239280568e-06,1.608272438777893e-05,0.0001092385430721063,7.211162302351055e-05,0.00018130541331162054,0.002256883483837543,0.005967982923484026,0.005074277095416353,0.006240856468130131,0.00759989403053821
weekend,0.024362247155908325,0.0022147497414462115,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.287494532568061e-06,2.7152954356834076e-05,0.00014474451949001037,0.0003571260061972706,0.0006362790266780343,0.001458876116414435,0.002960271644192264,0.003933739654590709,0.004358779352626688,0.004908830622673106,0.0055671597641564026
unemployment,0.026051092085279576,0.0021709243404399647,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9741659343437986e-05,7.429995626054449e-05,0.0005159061327798476,0.001399197021736767,0.006012321351391697,0.0025790509881349656,0.0021545829349357694,0.0026064199316211773,0.004224966789239966,0.003507583762066571,0.0018292165510036592,0.0011078050067651719
concept,0.0321649099946611,0.0021443273329774066,15,5.0,0.0,0.0,0.0,0.0,0.0,1.1974501257532187e-05,8.250820090262871e-05,6.546150030406867e-05,0.00011425727061238419,0.0005293871883563795,0.000805537645919411,0.00097702550655757,0.0010839824658693627,0.0022142510128395593,0.0036092426463894696,0.004574180674699417,0.005094301519536255,0.005205862887193762,0.004519240890714923,0.0032776960835083813
aircraft,0.027236584422304658,0.00209512187863882,13,7.0,0.0,0.0,0.0,6.339463700389339e-06,0.0,1.1974501257532187e-05,0.0,0.0,0.0,9.287494532568061e-06,0.00030320799031798056,0.0011619768370170276,0.0015167351557319375,0.004962976408088667,0.0028755881832215166,0.0040563489002051435,0.003325205343383306,0.004815217567854579,0.0018811618485980838,0.0023105647283959297
scheduled,0.027749606964098995,0.0019821147831499283,14,6.0,0.0,0.0,0.0,1.2678927400778678e-05,0.0,0.0,0.0,1.0071000046779794e-05,4.470936676136773e-05,0.00017646239611879318,0.0002036471576762556,0.001009190955333128,0.001869659679503358,0.0027826602766719364,0.0036893543406434416,0.004345471640964446,0.004042406495877745,0.004005142537224901,0.0027939149349001124,0.0027642372549759524
fucking,0.013840327711326933,0.0019771896730467046,7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142520123945412e-05,0.0,4.216404960735361e-05,0.000755171337804149,0.0031687250919299748,0.0028743271391377884,0.0036473019668085134,0.0032812129247996994
parking,0.023614782993182225,0.0019678985827651855,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.035500023389897e-06,4.967707417929748e-06,0.0,1.3576477178417038e-05,0.00020505473594418136,0.0004621630668435266,0.0013701208374467006,0.00180883772815547,0.0022914056021371607,0.002960084756658865,0.003075817882796947,0.005702851600187879,0.005714867098391759
golf,0.029197865086685454,0.0019465243391123637,15,5.0,0.0,0.0,7.398327193831512e-06,0.0,6.1751685357872626e-06,0.0,0.0,1.0071000046779794e-05,0.0003278686895833633,0.0005758246610192199,0.0007467062448129372,0.0022354986899012714,0.0023024123693659326,0.0013192185153124577,0.00315387091063005,0.0026107351964086297,0.0028036045052055327,0.0027961980752699515,0.004545213539512135,0.005757069193887575
global,0.01939076333996205,0.001939076333996205,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643747266284031e-06,0.0,2.814476767861313e-05,1.680592970340097e-05,0.0005259906620538417,0.000548132644895597,0.0007163339547170785,0.0011909885805059164,0.0021958379002855206,0.005895791276967169,0.008268093875888631
environmental,0.02320432290930575,0.0019336935757754794,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.935414835859497e-06,7.429995626054449e-05,7.693337067769656e-05,0.00015278588168389983,0.000277297840106116,0.0004284278779632097,0.0001855218182723559,0.000569614951943701,0.004020673127620338,0.003063481714817814,0.007554330421589149,0.006791020533535069
garage,0.0228764813894524,0.0019063734491210334,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011922497803031394,0.0001625311543199411,0.0007376552600273259,0.0017530169582679034,0.002407449430012189,0.002061544046436831,0.0021166352902891516,0.0020540660388272854,0.002182030173043686,0.002426113035895987,0.0032725537484487375,0.0035836612758530476
